,tweet,pro/anti
21,#HongKong #hk #StandwithHK #FreeHongKong #chinazi #extraditionbill #FiveDemandsNotOneLess https://t.co/wmUhZeAS53 ,0
22,#HongKong #FreeHongKong #chinazi #extraditionbill #FiveDemandsNotOneLess https://t.co/odPfn8aCDI ,0
23,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
24,Thank you speakers and all Americans who stand with HongKong! #5DemandsNot1Less #FreedomHK\u2026 https://t.co/uHFEg4ohEf ,0
25,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
26,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
27,"RT @GordonGChang: Forget about cancelling just the fireworks. How about canceling National Day? After all, why should anyone celebrate a sy\u2026 ",0
28,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
29,RT @SenToddYoung: Proud to meet with @joshuawongcf @hoccgoomusic &amp; @nathanlawkc ahead of the @CECCgov hearing on the situation in #HongKong\u2026 ,0
30,RT @SenToddYoung: We cannot allow Beijing\u2019s communists to take advantage of #HongKong\u2019s economic prosperity while systematically underminin\u2026 ,0
31,"RT @Woppa1Woppa: Alright alright I^ve watched many versions of #GloryToHongKong, but this is by far the best one yet.  Full orchestral with\u2026 ",0
32,"RT @HongKongFP: Sharon Hom of NGO @HRiChina: ""The out-of-control lawless actions of the #HongKong police have only provided mobilisation fu\u2026 ",0
33,"RT @SpeakerPelosi: By passing the Hong Kong Human Rights &amp; Democracy Act, we will make our message to the people of #HongKong is clear: Ame\u2026 ",0
34,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
35,"RT @KevMushroom: Here^s why Hong Kong protesters try to ""finish privately""(\u79c1\u4e86) \nThe pro-china rioters are trying to hurt Hong Kongers\nIf Ho\u2026 ",0
36,"RT @CriticalCezanne: In #HongKong when you attack by mobs:\n1) not hit back, call #HKPolice, then you are arrested by police;\n2) hit back th\u2026 ",0
37,RT @FreedomHKG: #Hongkongers are deeply grateful for the bipartisan support from\n@SpeakerPelosi @RepEliotEngel @RepMcGovern @RepChrisSmith\u2026 ,0
38,"RT @Stand_with_HK: \u3010Frontline protestors\u3011\n\nWhen asked upon why he is willing to fight for #Hongkong , a frontline protester said: \n\n\u201cIf we\u2026 ",0
39,"RT @SpeakerPelosi: By passing the Hong Kong Human Rights &amp; Democracy Act, we will make our message to the people of #HongKong is clear: Ame\u2026 ",0
40,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
41,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
42,RT @NLForHK: #928 - we^ll host a rally again on #damsquare to support #hongkong. More details to be announced shortly.\n\n#5DemandsNot1Less #\u2026 ,0
43,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
44,"RT @HouseForeign: ""Democrats &amp; Republicans are on the same side: the side of the people of #HongKong as they face intensified pressure from\u2026 ",0
45,RT @GlobalHimalaya: \u91cd\u78c5\U0001f525\u9996\u767c\U0001f525 #\u7cbe\u83ef\u7248 \n\u53cd\u5171\u9b25\u58eb\u76e7\u6bd4\u5967\u8b70\u54e1 @marcorubio \u5728\u7f8e\u570b\u570b\u ,0
46,"RT @KevMushroom: Here^s why Hong Kong protesters try to ""finish privately""(\u79c1\u4e86) \nThe pro-china rioters are trying to hurt Hong Kongers\nIf Ho\u2026 ",0
47,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
48,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
49,RT @tsubame_hk: [\u65e5\u672c\u8a9e\u5b57\u5e55\u4ed8\u304d] \u53cd\u653f\u5e9c\u30c7\u30e2\u306e\u7d9a\u304f\u9999\u6e2f\u306b\u95a2\u3059\u308b\u516c\u8074\u4f1a\u3067\u7c73\u56f ,0
50,\U0001f494 #hongkong #HongKongProtests #HKPoliceTerrorism #hkpolicebrutality https://t.co/9KywoKtD13 https://t.co/mjOQLUjykb ,0
51,RT @YourAnonRiots: #HongKong police deploy teargas as protesters fill the streets. #HongKongProtests #antiELAB #PoliceBrutality  #HongKongP\u2026 ,0
52,"RT @SanUkLingHK: @TeamCoco If HongKong has Conan, truth of #831TerrioristAttack could be disclosed ASAP. Our fds who hv suffered from #Poli\u2026 ",0
53,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
54,RT @YourAnonRiots: #HongKong police deploy teargas as protesters fill the streets. #HongKongProtests #antiELAB #PoliceBrutality  #HongKongP\u2026 ,0
55,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
56,RT @anderscorr: The #HongKongHumanRightsAndDemocracyAct has five new cosponsors in the House! Thank you @TomMcClintock @RepRonWright @Mario\u2026 ,0
57,"RT @BloodyFactsHK: today #HongKong, tmr your country. \nCCP is penetrating through commercial educational political means, ALL over the worl\u2026 ",0
58,RT @pinkykiki222: \u6211\u8981\u570d\u7210\uff0c\u8acb\u5e6b\u5e6b\u6211\U0001f64f\U0001f3fe\U0001f64f\U0001f3fe\U0001f64f\U0001f3fe\U0001f64f\U0001f3fe\U0001f64f\U0001f3fe\n\n#Hon ,0
59,RT @SenToddYoung: We cannot allow Beijing\u2019s communists to take advantage of #HongKong\u2019s economic prosperity while systematically underminin\u2026 ,0
60,We want truth!!\n#HKPoliceBrutality #HongKong https://t.co/8XbDGoLqbY ,0
61,I would say it\u2019s self defence #hkpolicebrutality #HongKong https://t.co/khadP5JXwz ,0
62,RT @casslsycass: Fans from different soccer team make human chain. They connected to against #PoliceBrutality and tyranny\n#HongKongProtests\u2026 ,0
63,RT @BeWaterHKG: When will all the tortures and possibly murders by #HongKong^s #PoliceState stop? It started with #PoliceBrutality and is n\u2026 ,0
64,"RT @marcorubio: I suspect #China\u2019s Communist Party next move, under the guise of \u201creform\u201d will be to try &amp; impose a #Macau style system of\u2026 ",0
65,RT @marcorubio: The embrace of #HongKong\u2019s struggle is the embrace of the idea that America should never hesitate to say that democracy &amp; l\u2026 ,0
66,@LeaderHoyer @Mons_Orientalis @POTUS Thank you @LeaderHoyer for support HongKong. The Hong Kong police force are ou\u2026 https://t.co/G3kE7bFkCA ,0
67,#hongkong #HongKongProtesters #FreeHongKong #CCP #StandWithHongKong  Just Do it. https://t.co/8WCu4OO3BM ,0
68,RT @CriticalCezanne: Wow! This design is too iconic #HongKong style: Neon Sign\nIt represents #HongKonger strive for freedom endlessly.\n\n\u8001\u9999\u6e2f\u2026 ,0
69,"\u201cCorrupt cops, may your whole family die!\u201d\n.\n.\n.\n#HongKong\n#HongKongPolice\n#hongkongpolicebrutality\u2026 https://t.co/AcS4RrEbra ",0
70,RT @FreedomHKG: @SpeakerPelosi Heartfelt thanks for you support \U0001f64f cant wait for the good news. Please #LiberateHongKong and make HongKong g\u2026 ,0
71,RT @shapponeko: #929GlobalAntiChinaziMarch \n#AntiChinazi\n#PoliceState \n#HongKong https://t.co/fK2sql9mSo ,0
72,"RT @SenRubioPress: Ahead of the @CECCgov #HongKong hearing, Sen. Rubio met with #HongKong pro-democracy activists @joshuawongcf, @nathanlaw\u2026 ",0
73,RT @hkdc_us: Bipartisan congressional leaders standing with #hongkong pro-democracy movement. We are all #HongKongers. @SpeakerPelosi @RepE\u2026 ,0
74,"RT @realKyleOlbert: \u201cNowadays, students and #HongKong people are even ready to DIE for Hong Kong.\u201d\n\nToday was HISTORIC for #HKprotests as #\u2026 ",0
75,RT @HongKongFP: [Recap] War at the dinner table: Hong Kong families divided over protests #HongKong #China #antiELAB #hongkongprotests \n\nht\u2026 ,0
76,RT @SophieHRW: I would highly recommend everyone start her day this way\u2014the amazing gifts of \u2066@Badiucao\u2069\u2019s insights and his artwork\u2069!!! \u2066#H\u2026 ,0
77,"RT @HongKongFP: Sharon Hom of NGO @HRiChina: ""The out-of-control lawless actions of the #HongKong police have only provided mobilisation fu\u2026 ",0
78,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
79,"RT @BBCHARDtalk: ""There is no leadership at the moment...#HongKong is, at the moment, a rudderless ship"".\n\nAnson Chan, former Chief Secreta\u2026 ",0
80,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
81,"RT @SenRubioPress: Senator Rubio during #HongKong @CECCgov hearing: ""China^s leaders must either respect Hong Kong\u2019s autonomy or know that\u2026 ",0
82,@DisneyFR @Namineeyes #BoycottMulan #HongKong https://t.co/7Dmsm4MUce C^est les valeurs de Disney ou de Mulan ? ,0
83,Many thanks to every first aider\U0001f62d\n#StandWithHongKong #StandwithHK #FreeHongKong #FreedomHK #hongkong\u2026 https://t.co/GRQ9jtwAFr ,0
84,credit to @DatelineSBS \nhttps://t.co/91ukNyjHrV\n\n#FightForFreedom \n#StandWithHongKong \n#HongKong https://t.co/xwLxWa9fp0 ,0
85,#freehongkong \n#policebrutality #HKPoliceTerrorism\n#Followbackhongkong #boycottmulan #StandWithHongKong #SOSHk\u2026 https://t.co/Z3Xxl6XDlK ,0
86,\u7a81\u767c Android App \u5df2\u4e0a\u67b6\nhttps://t.co/D5h1tL34Wd telegram: https://t.co/9cQqy5T8p2 #5DemandsNot1Less #HKmap\u2026 https://t.co/tR7DrRHbjP ,0
,tweet,pro/anti
0,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
1,RT @Szell51810733: #hongkong #PoliceBrutality #chinazi #HongKongProtests #FreeHongKong #antiELABhk #democracy https://t.co/k0oVtdCDGc ,0
2,"RT @HKdelMundo: A mega problem needs global involvement. No more reeducation camp, no more oppression to liberals, no more fake news, no mo\u2026 ",0
3,"RT @Jolisa_unicorn: Although #HongKong ^s path to democracy is full of obstacles, we never give up. Freedom is a core value of humanity. #H\u2026 ",0
4,RT @Dystopia992: #CityU flash mob #orchestra march beginssss! Join us at #FestivalWalk \U0001f1ed\U0001f1f0\n\n#\u6709\u73ed\u8b66\u5bdf\u6bc5\u9032\u4ed4 \U0001f602\n#DoYouHearThe ,0
5,RT @FreedomHKG: #Hongkongers are deeply grateful for the bipartisan support from\n@SpeakerPelosi @RepEliotEngel @RepMcGovern @RepChrisSmith\u2026 ,0
6,RT @realKyleOlbert: \u2026 I apologize. I misspelled the hashtag \u201c#HongKong\u201d because it\u2019s so late.\n\nThis person is obviously trying to elicit so\u2026 ,0
7,RT @tsubame_hk: [\u65e5\u672c\u8a9e\u5b57\u5e55\u4ed8\u304d] \u53cd\u653f\u5e9c\u30c7\u30e2\u306e\u7d9a\u304f\u9999\u6e2f\u306b\u95a2\u3059\u308b\u516c\u8074\u4f1a\u3067\u7c73\u56f ,0
8,"RT @HongKongFP: At @hkairport, one officer chased a male protester who attempted to seek refuge in the male toilets. HKFP footage showed ho\u2026 ",0
9,"RT @HongKongFP: Hundreds of #HongKong football fans are gathered at Victoria Park on Wednesday evening in a show of unity amid rivalries, a\u2026 ",0
10,"RT @HongKongFP: #HongKong football fans adopted terrace chants to ridicule the police and the government, singing as they ended their human\u2026 ",0
11,RT @HongKongFP: The football fans\u2019 human chain is being formed around Victoria Park\u2019s pitches on Wednesday evening.\n\nIn full: https://t.co/\u2026 ,0
12,RT @Reuters: Hong Kong democracy activists urge members of the U.S. Congress to pass legislation to combat human rights abuses in the city\u2026 ,0
13,RT @Szell51810733: #hongkong #PoliceBrutality #chinazi #HongKongProtests #FreeHongKong #antiELABhk #democracy https://t.co/k0oVtdCDGc ,0
14,RT @Szell51810733: #hongkong #PoliceBrutality #chinazi #HongKongProtests #FreeHongKong #democracy #antiELABhk https://t.co/BVKCbsfyxY ,0
15,"RT @ho_steffie: \u201cBy passing the #HKHumanRightsDemocracyAct, we will make our message to the people of #HongKong is clear: #America supports\u2026 ",0
16,RT @marcorubio: The embrace of #HongKong\u2019s struggle is the embrace of the idea that America should never hesitate to say that democracy &amp; l\u2026 ,0
17,RT @DanGarrett97: Honored that some of my photographs from the beginning weeks of the #AntiELAB resistance to #SaveHK will be displayed at\u2026 ,0
18,RT @ahbooi1: After a series of event of a Chinese blogger destroying Ema filled with wishes of Hongkongers and later recovered by Japanese\u2026 ,0
19,RT @kpspan: [#NOW] \nMr. Kim Eui-sung is spotted at Prince Edward Station.\n\nJust can^t express my immense gratitude to a Korean actor being\u2026 ,0
20,We stand with #HongKong! #HongKong #hongkongpolicebrutality #HongKongHumanRightsAndDemocracyAct https://t.co/HUJwcon8TB ,0
21,@SpeakerPelosi Thank you! Thanks for supporting #HongKong! #passHKHumanRightsDemocracyAct #FiveDemandsNotOneLess #FreeHongKong ,0
22,Thank you madam\U0001f49b #FreeHongKong #5DemandsNot1Less #FreeHK #FightForFreedom #StandwithHK #HumanRights #HongKong\u2026 https://t.co/PTKvFi96ah ,0
23,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
24,RT @tsubame_hk: [\u65e5\u672c\u8a9e\u5b57\u5e55\u4ed8\u304d] \u53cd\u653f\u5e9c\u30c7\u30e2\u306e\u7d9a\u304f\u9999\u6e2f\u306b\u95a2\u3059\u308b\u516c\u8074\u4f1a\u3067\u7c73\u56f ,0
25,"RT @IamHongkongese: ""The vandalism is all about symbolism ... We are not just vandalizing stuff. We are making a very concrete political de\u2026 ",0
26,RT @lindog19: The #HongKong journalists were not welcomed from the police\u2019s point of view. There have been countless incidents the police i\u2026 ,0
27,"RT @oirycl: The #Hongkong teenagers are willing to sacrifice their leisure&amp;study time, and even their future, to fight for the future of th\u2026 ",0
28,#HongKong HK police in cahoots with the triads.\n\n#FreeHongKong #FightForFreedom #StandWithHongKong\u2026 https://t.co/4eIriMqtDz ,0
29,#HongKong Collusion between the police and the mobs.\n\n#HKPolice #HKPoliceTerrorism #FightForFreedom\u2026 https://t.co/SYfAfIPcrl ,0
30,Amazing HongKong\n#GloryToHongKong \n#StandWithHongKong \n#WeAreHongKongers https://t.co/y7eB2Pgnwc ,0
31,A silent massacre is happening in #HongKong \n#nosuspicioussigns #FightForFreedom #StandwithHK https://t.co/m2EbSFoR15 ,0
32,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
33,so touching \U0001f62d\U0001f62d\U0001f62d\nWe won\u2019t give up!\nThank you #Japanese!\n#StandWithHongKong #antiELABhk #5DemandsNot1Less #HongKong https://t.co/bhINagVAL2 ,0
34,"RT @SpeakerPelosi: By passing the Hong Kong Human Rights &amp; Democracy Act, we will make our message to the people of #HongKong is clear: Ame\u2026 ",0
35,we need the truth!\n#StandWithHongKong #antiELABhk #HongKongProtests #HongKong https://t.co/1ZcoxlQdCm ,0
36,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
37,RT @godsavehongkong: We have try peace but this is what gov &amp; Beijing respond\nSelf Defense is needed!\n\n#HKprotests #HongKongProtests #HongK\u2026 ,0
38,RT @Alice_Ber12: @BDliveSA Join worldwide Anti-Chinazi Rallies on 29 Sept with us!\n\nSay NO to Chinazi \n\n#929antichinazi #chinazi #HongKong\u2026 ,0
39,RT @MakTKit1: What happened in Hong Kong?\n\n#HongKong #HongkongPoliceTerrorism #HongKongProtests #FreeHongKong  #chinazism https://t.co/G3Ti\u2026 ,0
40,"RT @SpeakerPelosi: By passing the Hong Kong Human Rights &amp; Democracy Act, we will make our message to the people of #HongKong is clear: Ame\u2026 ",0
41,@BDliveSA Join worldwide Anti-Chinazi Rallies on 29 Sept with us!\n\nSay NO to Chinazi \n\n#929antichinazi #chinazi\u2026 https://t.co/5BvyAtnpLB ,0
42,"@Steve37943982 @hijk12342 So called \u201cjournalists are my best friends\u201d, said by Hong Kong Police\n\n#PoliceTerrorism\u2026 https://t.co/aaItOmDWjG ",0
43,"@asiatimesonline What\u2019s Hong Kong Human Rights and Democracy Act 2019?\n\nFree Hong Kong, Free Uyghur, Free Tibets!\nS\u2026 https://t.co/4mUegLmRj9 ",0
44,#HongKongPolice #HongKong #HongKongProtest #HongKongProtesters #PoliceBrutality #PoliceTerrorism\u2026 https://t.co/NvNUH1oUcs ,0
45,RT @CanFriendsHK: #HumanRights #HumanitarianCrisis #HongKongers #HongKongProtests #HongKong #HongKongHumanRightsAndDemocracyAct #HongKongPr\u2026 ,0
46,Tears tissues pls \U0001f622\n\u7747\u5230\u597d\u5fc3\u75db\n\n#HongKong #HongKongProtests #HongKongers #LiberateHongKong https://t.co/hLI0mDeIsm ,0
47,"RT @EnzoMazak: This is my humble letter to all #HongKongers,\n""#HongKongProtesters""\nand People in #HongKong.\n\nIn this letter, I have discuss\u2026 ",0
48,"Destroy, destroy and destroy. Destroy is the only thing they know.  \n#FreeHongKong #hongkong #freedom https://t.co/8e5C5TqMZI ",0
49,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
50,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
51,"RT @BeWaterHKG: Retirement in #HongKong usually involves copious amount of mahjong games, dim sum, morning workout, spending time with frie\u2026 ",0
52,RT @ChrisDerps: Sooo the Pro-Beijing mob boss Junius Ho is calling on the mobs to tear down #LennonWall  everywhere in #HongKong. Let^s gat\u2026 ,0
53,RT @Yu_Hong_Chan: \u64e0\u58d3\u4e2d\u7684\u8072\u97f3\u3000\u593e\u7e2b\u4e2d\u7684\u5857\u9d09\uff081\uff09\n\n#hongkong #nochinaextradition #antielab #antielabhk #\u9999\u6e2f\u ,0
54,"RT @HongKongFP: Outside Government House, several pro-democracy district councillors wear helmets and goggles \u2014 common in protests \u2014 and ho\u2026 ",0
55,RT @FreedomHKG: @SpeakerPelosi Heartfelt thanks for you support \U0001f64f cant wait for the good news. Please #LiberateHongKong and make HongKong g\u2026 ,0
56,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
57,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
58,Thank you. Your Support means a lot to #HongKong and the fight for #democracy. #FreeHK https://t.co/TLMbcNis1c ,0
59,Thank you @SpeakerPelosi and @USCongress in standing with #HongKong   Your support can save LIVES. May God bless yo\u2026 https://t.co/8Gp3yUNtSx ,0
60,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
61,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
62,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
63,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
64,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
65,"RT @HongKongFP: [Recap] Fire dept. says recording of Aug 31 MTR incident was within normal practice, condemns logbook leak #HongKong #China\u2026 ",0
66,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
67,"@realKyleOlbert It really scared me... #CCP^s dirty works are happening in #US .... please be safe\U0001f64f\U0001f3fb\U0001f64f\U0001f3fb\n\nIn #China,\u2026 https://t.co/KL0hGiEU ",0
68,RT @YourAnonRiots: #HongKong police deploy teargas as protesters fill the streets. #HongKongProtests #antiELAB #PoliceBrutality  #HongKongP\u2026 ,0
69,RT @FreedomHKG: @SpeakerPelosi Heartfelt thanks for you support \U0001f64f cant wait for the good news. Please #LiberateHongKong and make HongKong g\u2026 ,0
70,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
71,Human rights as also \n#FreeHongKong #HongKong https://t.co/c2gM6yWA8s ,0
72,"RT @SpeakerPelosi: By passing the Hong Kong Human Rights &amp; Democracy Act, we will make our message to the people of #HongKong is clear: Ame\u2026 ",0
73,Stand against #chinazi  Stand with #HongKong \n#HongKongProtests #chinazism #CCP #929GlobalAntiChinaziMarch\u2026 https://t.co/Joq4X24Bd0 ,0
74,HK Legislator Tanya Chan is speaking in UN Watch.\n#hongkong #antielabhk #homekong #savehk #savehongkong #freedomhk\u2026 https://t.co/233rndTyMU ,0
75,@SpeakerPelosi Thank you for standing with Hong Kong! \n#HongKong #HongKongers #LiberateHongKong #LiberateHK #HumanRights #DemocracyForHK ,0
76,RT @FreedomHKG: @SpeakerPelosi Heartfelt thanks for you support \U0001f64f cant wait for the good news. Please #LiberateHongKong and make HongKong g\u2026 ,0
77,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
78,RT @hk_protect: Why are HKers taking their frustrations on the MTR ? \nPls read the following picture to know more about us \U0001f64f\U0001f3fe\U0001f62d \n#FightForFr\u2026 ,0
79,"RT @SenRubioPress: Ahead of the @CECCgov #HongKong hearing, Sen. Rubio met with #HongKong pro-democracy activists @joshuawongcf, @nathanlaw\u2026 ",0
80,RT @AnnieBoyajian: Press conference to announce impending action on #HongKong Human Rights and Democracy Act @SpeakerPelosi @RepEliotEngel\u2026 ,0
81,RT @R_Ebbighausen: That even PR agencies turn down the offer of #HongKong^s government shows how wrong they are. Hong Kong protests: govern\u2026 ,0
82,RT @hkdc_us: Bipartisan congressional leaders standing with #hongkong pro-democracy movement. We are all #HongKongers. @SpeakerPelosi @RepE\u2026 ,0
83,RT @godsavehongkong: We have try peace but this is what gov &amp; Beijing respond\nSelf Defense is needed!\n\n#HKprotests #HongKongProtests #HongK\u2026 ,0
84,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
85,#Chinazi #China #AntiELAB #HongKongProtests #HongKong #HK #FreedomHK\n#fightforfreedom #standwithHK\n#WeAreHongKongers https://t.co/U89mS1mRNs ,0
86,#Chinazi #China #AntiELAB #HongKongProtests #HongKong #HK #FreedomHK #chinaziPoPo #FreeHK #hkpolicebrutality\u2026 https://t.co/f8RytlgZX1 ,0
87,[915] Innocent girl got randomly arrested by Hong Kong Police who lost t... https://t.co/IoIylHxNdW via @YouTube\u2026 https://t.co/ZoS2703E7X ,0
88,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
89,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
90,One huge step forwards! \n\n#SaveHongKong #FreedomHK #FreeHongKong #HK #PrayForHongKong #\u9999\u6e2f #\u9999\u6e2f\u52a0\u6cb9 #Asia #HongKong\u2026 https://t.co/FNXujq6Dvo ,0
91,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
92,That\u2019s not what we want. #HKHumanRightsandDemocracyAct #HongKonger #\u9999\u6e2f #FreeHK #5DemandsNot1Less #hkpolicebrutality\u2026 https://t.co/4yQHwcBVoM ,0
