,tweet,label
2068,Thank you for #StandWithHongKong #Hongkongers won\u2019t let you down and will keep #FightForFreedom https://t.co/qFfBTzTuXp ,0
1362,#HongKongProtest #chinazi https://t.co/wCFONvkfD1 ,0
842,HKGOV is starting to ban LIHKG. Freedom of speech no more exist in HK. \n#FreeHongKong #FreedomOfSpeech ,0
481,"First Cathay, then #NBA, #Apple\nNow your music. Please stand together and fight against invasion of #chinazi\u2026 https://t.co/pPV01oIFO6 ",0
3638,History in the making: the world is witnessing #HongKong going down the drain! #HongKongProtests\u2026 https://t.co/J170fNNRQr ,0
1088,"And this is a lawful assembly, how are #HKPolice allowed to arrest first aiders?? @SolomonYue \n\n#HKPoliceTerrorism\u2026 https://t.co/EFiKUSCgFo ",0
3183,"@anderscorr @realDonaldTrump @SecPompeo @EsperDoD Sir, thank you so much \U0001f622Save hk=save the free world \U0001f623 this is a g\u2026 https://t.co/QuYbpR1vVO ",0
1504,@iingwen Great country of Taiwan!\n#Taiwan #FreeHongKong ,0
2156,@NBA #FreeHongKong Stop being FASCIST! You\u2019re a basketball organization for the love of God! Behave like Americans ! ,0
1277,@SolomonYue @SenRickScott \n\n#standwithhongkong #Freehongkong \n\nHope @Twitter will not self~censor this slogan!\u2026 https://t.co/1BN2tMr6HK ,0
3017,@SolomonYue Thank you NCM. We truly appreciate your efforts on the protests and the HK Human Rights and Democracy Act. #StandWithHongKong ,0
70,Let the world know! Please retweet! #StandWithHongKong #FreedomHK #antichinzi #AntiMaskLaw\u2026 https://t.co/re7YxMtMk4 ,0
2367,Dear Starbucks you deserve a better agent #FreeHongKong #HongKongProtests https://t.co/abO4bYnIMa https://t.co/LH35s1YJMZ ,0
514,Thank you NCM Yue.\n#StandwithHongKong\n#LiberateHongKong\n#followbackhongkong https://t.co/RuvPPVXfeQ ,0
888,"Communist China - Chinazi is the only country in the world that imprisoned, attacked and murdered citizens before t\u2026 https://t.co/fLyQosIm7j ",0
157,\u9999\u6e2f\u4eba\u52a0\u6cb9\u2026\u2026\u611f\u52d5\U0001f495\n\u795d\u5927\u5bb6\u5e73\u5b89\uff01\n\u9999\u6e2f\u4eba\u52a0\u6cb9\uff01\n#StandWithHongKong \n#FreeHongKong htt ,0
484,@canderson1989 @THlSCIRCLE @tisheriffic I completely #StandWithHongKong but blizzard is just enforcing their contra\u2026 https://t.co/t85st1amPQ ,0
703,#\u9999\u6e2f\u4eba\u52a0\u6cb9 has now become #\u9999\u6e2f\u4eba\u53cd\u6297. #HongKongProtests just became #HongKongRevolt!\nGreat job #CarrieLam #\u862d\u5609\u8389! Your\u2026 ,0
1823,RT @kennethomg: It must be done.\nTheir grips cannot spread any further.\nIt^s not just an issue with Hong Kong now.\nIt^s also related to fre\u2026 ,0
2733,Thank you so much!!! #StandWithHongKong #FightForFreedom #hongkong #HongKongProtest https://t.co/3S8f4Dl1bx ,0
658,#FreeHongKong #PoliceTerrorism #PoliceBrutality #PoliceState #HongKong #antiELAB #chinazi #chinazism\u2026 https://t.co/5THaiTPpOB ,0
1789,RT @ami0712_ng: We hongkongers won^t give up \n\n#HKprotesters \n#StandWithHongKong https://t.co/QozzlAqZTd ,0
97,@MarioDB Thanks for support. We urge for some real action to fight against #chinazi and #PoliceTerrorism ,0
2225,@realDonaldTrump Hong Kong definitely is the leverage to the negotiation with them. #StandWithHongKong\u2026 https://t.co/LpudTFme4B ,0
1646,Showing how patriotic you are with your expensive rides but in a foreign country #China70yearsOfShame #Joker\u2026 https://t.co/tw4o8bLGi9 ,0
192,\u884c\u65e9\u5497\u4e5d\u5e74\n\u5462\u52a0\u5148\u611f\u5230\u8eab\u908a\u4eba\u89ba\u9192\u597d\u75db\u82e6\n\n\u7531\u53cd\u9ad8\u9435\u5230\u53cd\u9001\u4e2d\n\u5982\u679c\u65 ,0
2601,We\u2019re Hongkongers \n#StandWithHongKong #FreedomHK # https://t.co/owLeVEPgwX ,0
601,Let\u2019s the see why HK people angry with HK cop\U0001f447\U0001f3fb\n\n#StandWithHongKong \n#FightForFreedom \n#FreedomOfSpeech https://t.co/VVXBimRoDR ,0
2975,#HongKongProstests #HongKong #FiveDemandsNotOneLess #AntiMaskLaw #FreeHongKong #HongKongPolice #FTP #English #USA\u2026 https://t.co/qK4gmMiwZ2 ,0
863,Thanks for #german to organise #standwithhongkong event! Please keep yourself safe from the pro Beijing people! If\u2026 https://t.co/BJzRMpRTYs ,0
2147,She definitely does not know. She does not even know Malaysia Prime Minister also suggested her that she should res\u2026 https://t.co/TTF9mJXJZZ ,0
1634,#HKHRDA #HKHumanRightsandDemocracyAct #HongKongProtest #chinazi #PoliceBrutality #PoliceTerrorism https://t.co/2p64h4hXqJ ,0
886,RT @abcabcsunny123: @CECCgov Hong Kong Government is killing us\n#FreeHongKong ,0
693,Freedom of press? Of course not in #chinazi https://t.co/4cBdXa6GzD ,0
133,We are not alone in this fight! #929GlobalAntiTotalitarianism #929globalmarch #LiberateHongKong #FightForFreedom\u2026 https://t.co/wreZ5dtpeX ,0
2907,Be the America Hong Kong believes we are. #FREEHONGKONG FUCK THE NBA ,0
1174,Look how masked &amp; armed #HongKongPolice attacked innocent on street arbitrarily @amnesty @amnestyHK They escaped fr\u2026 https://t.co/s8kTqFVFpn ,0
1323,Winter on Fire in #HongKong #standwithhongkong #HongKongHumanRightsAndDemocracyAct https://t.co/XP2O3QuIiv ,0
1209,"@marcorubio @cathaypacific @TiffanyAndCo @VANS_66 One more , really time to wake up free world, stop #chinazi invas\u2026 https://t.co/NZpg6zp4yu ",0
536,@RP_Vinothh \u0b8e\u0b99\u0bcd\u0b95 \u0bb5\u0ba8\u0bcd\u0ba4\u0bc1 \u0baf\u0bbe\u0bb0\u0bcd\u0b95\u0bbf\u0b9f\u0bcd\u0b9f \U0001f483\U0001f483\U0001f483\n#\u83ab\u8fea_\u56de\u53b ,0
2359,RT @hnjhj: When you have a Chinazi problem but want to fix it with a Mask Ban ... https://t.co/puWKGBDxnD ,0
1355,Today is \nDAY #301\nof captivity for CANADIAN  MICHAEL KOVRIG.\n\n#FreeHongKong\n#FreeKovrigandSpavor \n\nWrite or call y\u2026 https://t.co/8qdsEiNE26 ,0
2559,@BetoORourke What an embarrassment of upholding money rather than human rights. \nDon^t weight money too much. In Ch\u2026 https://t.co/DOT84kl8ug ,0
1968,Against sexual violence &amp; brutality of #HongKongPolice. \n#HongKongProtests #StandWithHongKong https://t.co/Tt98npmxbO ,0
421,"Chinazi scum, your time will come #SanctionCommunist #StandWithHongKong #FightForFreedom\u30109.28\u502b\u6566\u904a\u884c\u3011\u4e2d\u570b\u7537\u5b50\u6301\u4e94\u661f\u65d7\u8e ",0
884,"Agree, #5DemandsNot1Less \n#HongKongers will keep on #FightForFreedom , please #StandWithHongKong https://t.co/0ErM5CApGd ",0
1768,"@FT Hong Kong protesters are invincible, coz an idea is bullet proof.\n#StandWithHongKong \n#FreeHongKong https://t.co/FUVpMU6SYC ",0
2373,#HongKong #HKprotests #antiELAB #6DemandsNot1less  #SixDemandsNotoneless #NoPoliceBrutality #PoliceBrutality\u2026 https://t.co/aGk4lYGzPJ ,0
701,#TuenMun #HongKong #PoliceBrutality https://t.co/zlRER9xg7b ,0
3018,Are you sure the police arrest more than 100 children charge as rioters under 10 years old?\n#StandwithHK #chinazi\u2026 https://t.co/iCv0W0x147 ,0
1987,@AnonsWorldwide @hkrevolutionguy Ideas are bulletproof !\n#HKprotests \n#AntiMaskLawHK \n#StandWithHongKong \n#FightForFreedom \n#FreeHongKong ,0
2800,RT @disney2096: @EnzoMazak @mryellowobject that^s why we said they are #chinazi  \nthey are cool blood object &amp; will be a #Terrorists to all\u2026 ,0
85,"@Slasher Oh God!The world ran perfectly good even before China got rich! Vans,NBA,Tiffany &amp; Co., those companies ea\u2026 https://t.co/Mjg2fBwxgQ ",0
3843,#shameonblizzard \n#BoycottBlizzard \n#BoycottChina \n#StandWithHongKong https://t.co/ZJY4RlzwUP ,0
757,@mbrookerhk Red thugs are protected by the law enforcers #ironic #HongKong ,0
1139,RT @mskstandwithhk: Where is Team Germany ! ? I am here waiting for you !\U0001f1e9\U0001f1ea\U0001f1e9\U0001f1ea\U0001f1e9\U0001f1ea\n\n#StandWithHongKong \n#FreeHK\n#HKprotests h ,0
1039,\u65b0\u7586\u96c6\u4e2d\u71df\u5b8c\u5168\u8907\u88fd\nHong Kong maybe have a concentration camp\n#FreeHongKong #Xinjiang \n\nhttps://t.co/wAiJm7a27U ,0
1224,@SolomonYue These Chinese barbarians are just shaming themselves for being such an arrogant bastxrd without conscie\u2026 https://t.co/onuIsDsWTZ ,0
684,@MHiesboeck #HongKongProtests ,0
2467,RT @WarlickLeslie: #StandWithHongKong https://t.co/LpLVtFCp8x ,0
2943,No one would trust the rubbish #HKPolice anymore. They can create / destroy evidence covering their lies. They only\u2026 https://t.co/nmwIwFHG1c ,0
1972,@Jkylebass @dmorey Thank you sir for standing with HK! We support freedom of speech and that we are all entitled to\u2026 https://t.co/Z3PuS5cdb3 ,0
3742,A pregnant woman was arrested in Tuen Mun.\n#hongkongprotests \n#chinazi https://t.co/96dXIV72Qp ,0
2872,@pinkykiki222 #HongKongProtesters  It^s time to report #hkpolicebrutality to the International Criminal Court.  Ple\u2026 https://t.co/8fiGj06LpZ ,0
2692,We need this at every NBA game until the NBA decides to stand up to China! #FreeHongKong https://t.co/CmGo2uu8Md ,0
2085,"Thanks Mr Yue, this is absolutely the case that waving \U0001f1e8\U0001f1f3, you will not being arrested even though you hit others a\u2026 https://t.co/fJh6sBBvj0 ",0
879,#hkprotest\n#chinazism\n#Hongkongprotest\n\n\u3010All you need to know about Hong Kong Protests 2019\u30112.0\nhttps://t.co/sgm0awjk4x\n- \u5206\u4eab\u81ea LIHKG \u8a0e\u8ad6\u534 ,0
3403,@HKNordicHearts @realDonaldTrump @SpeakerPelosi @marcorubio @SolomonYue #chinazi-sponsored #HKPoliceTerrorists thre\u2026 https://t.co/EmAPdwRBHh ,0
1797,@HawleyMO Thank you Sen Hawley\U0001f64f\U0001f3fb\nPlease be safe in Hong Kong\n\n#StandWithHongKong\n#antichinazi https://t.co/4FlByKLDj9 ,0
431,"RT @nytimesworld: Hong Kong\u2019s status as neutral ground is at risk, threatened on two fronts by President Trump\u2019s escalating trade war and B\u2026 ",0
2980,"#ThursdayThoughts \n#Thursday \n\n#China70years ?\U0001f914\n\n#China70yearsOfShame is more like it\n\n#FreeHongKong \nyes, obviousl\u2026 https://t.co/TfVRIGhe2t ",0
3939,@MichaelSteele #standwithhongkong ,0
2240,@sunnyforphoto2 you are just a slave under CCP ruling\nwhatever you say doesn^t change the fact that Hongkongers is\u2026 https://t.co/EfpcV9vyOg ,0
581,"@vickyford It is International Day of Democracy, but not so for Hong Kong. We hope to arise more concern from forei\u2026 https://t.co/ALFTqlcmxp ",0
2311,This is sad  \U0001f62d\U0001f62d\U0001f62d\U0001f62d GOD please help them #FreeHongKong https://t.co/BDiyfcrPed ,0
2276,#chinazi\nhttps://t.co/zFPSGCKzpL ,0
3820,Tell me they are official police. #PoliceBrutality #PoliceTerrorism #PoliceState #FreeHongKong https://t.co/JC5oqI3AOv ,0
3363,"Now that is guts! #NBA, where is yours?\n#FreeHongKong \n#StandWithHongKong \n#FightForFreedom\u2026 https://t.co/XbhhbHnsmV ",0
2064,@thetimes Hong Kong Police intentionally aimed Water Cannon at Journaliata when there were no protesters near by...\u2026 https://t.co/GBVhlKMwmN ,0
2274,Colors of protest in Hong Kong https://t.co/rXb2VfLBJT\n\n#HongKongProtests #\u9999\u6e2f #IStandWithHongKong #democracy\u2026 https://t.co/xx38cg1lgq ,0
5,"@MaryCha52747410 @ChrisLo86071482 Protect your children, say no to #AntiMaskLaw &amp; #EmergencyLaw \n#antiELABhk\u2026 https://t.co/PCtg1HnzIl ",0
448,Tracer says Free Hong Kong\n\n#FreeHongKong https://t.co/E3MiiWhXkB ,0
2161,China will not stop. It was to be stopped by the world joining forces. First step is to #FreeHongKong. https://t.co/6aNeaDoKQK ,0
1090,Crowd cut off heading west down Hennessy Road. Forced to divert. \n\nIf they repeat Tuesday\u2019s tactics then police wil\u2026 https://t.co/B3pPSJAhN6 ,0
453,@Blizzard_Ent Cowards. #FreeHongKong ,0
139,"0437, Support: if you are feeling a bit overwhelmed by the news and ongoing violence, try this to soothe yourself.\u2026 https://t.co/YUzx5lrQPs ",0
2371,#StandWithHongKong  #StandwithHK  #HongKongProtest https://t.co/odNdaqsdJZ ,0
1634,@Blizzard_Ent feeling that \u201ccold shoulder\u201d yet?  Using my freedom of speech to ask. #StandWithHongKong ,0
1509,They can do anything just because they support Hong Kong Police. #chinazi #chinazism #hkpolicebrutality #hkprotests\u2026 https://t.co/DuITjfFSQt ,0
671,#HongKongPolice hit a reporter tonight. This is everyday life in #HongKong now. Police state. \n\n#HongKongProtests\u2026 https://t.co/dYhUFaW2at ,0
394,I am so done with the @NBA  where is @NBAonTNT  #FreeHongKong #weareallHongKong ,0
2710,#HongKong\n#FreeHongKong\n#FreedomHK\n#FightForFreedom\n#StandWithHongKong\n#antiELAB\n#FollowBackHongKong\u2026 https://t.co/vVHQ1AHaSR ,0
1894,"@RamyInocencio @NBA @Lakers @BrooklynNets @CBSNews #chinazi style boycott is like this, so actual those companies c\u2026 https://t.co/oLQvQZoF7B ",0
1411,"@HawleyMO @NBA The time when even local sports kneel before Chinese money. Whilst Rockets kneel, the Chinese r enco\u2026 https://t.co/qI7Qh8LUb2 ",0
2046,@RichScotford HK \u201cpolice\u201d are out of control and thought they are above the law now.\n#hkpolicebrutality\u2026 https://t.co/TPlLHwPUEW ,0
933,\uacbd\ucc30\uc740 \uc721\uad50\uc5d0\uc11c \uc0ac\ub78c\ub4e4 \ud5a5\ud574 \uc4f0\ub808\uae30\ud1b5\uc744 \ub358\uc84c\ub2e4.\n#PoliceBrutality #HKPoliceTerrorism #\ud64d\ucf69 #\ ,0
1487,@Reuters God bless America!!! God bless Hong Kong!!! #StandWithHongKong ,0
1329,"I believe in Hong Kong becoz of them. Our future is bright. The kids are so brave. We^ll stand together, side by si\u2026 https://t.co/avJgvsgXOD ",0
945,#HongKongPolice #HongKong #hongkongpolicebrutality #HKPoliceTerrorism #hkpolicebrutality #HongKongers\u2026 https://t.co/SlFj62k9UY ,0
112,@business #chinazi https://t.co/oWzZKLUj8z ,0
1644,@SKokubunji @goukaou @PlayOverwatch #FreeHongKong ,0
1651,#FreeHongKong \u2764\ufe0f https://t.co/3h2neKpV9z ,0
2809,@hoccgoomusic This happens again and again? Please #FreeHongKong #PassHKHumanRightsAndDemocracyAct\u2026 https://t.co/iqN0Y6Tllz ,0
860,"@business Well...The MTR shut down the stations to prevent #HongKongers attending lawful assembly, and had several\u2026 https://t.co/N87EG9UL12 ",0
281,RT @zy9937855311: @wuzuolai \u7b2c\u4e00\uff0c\u4f60\u7684\u5b69\u5b50\u5728\u5bb6\u91cc\u7838\u4e1c\u897f\u7684\u8bdd\uff0c\u4f60\u80af\u5b9a\u4f1a\u6559\u8bad\u4ed6\u800c\u4e0d\u ,0
1351,@fordm #HongKong #HongKongPolice #PoliceState #PoliceBrutality #PoliceTerrorism #hkpf #china #chinazi #FreeHongKong\u2026 https://t.co/SIPoSBV05J ,0
575,RT @SigmaSDQ: Thanks for #StandWithHongKong \nWe won^t stop fighting either. https://t.co/O6KcdK6JvZ ,0
2702,RT @XiglinChau: @realDonaldTrump @VP @WhiteHouse @marcorubio \nThe #CCP backup this Provisional Parliament Org ! They are making a Reason  l\u2026 ,0
973,RT @JasonHo14469754: What you can do if you love Hong Kong even though you\u2019re not Hongkongers.\n#929globalmarch \n#929GlobalAntiChinazi \n#5De\u2026 ,0
235,"Seems that the woman in blue shirt was trying to use her flag to attack others. #China flag became a #weapon, total\u2026 https://t.co/k8DiD1x18G ",0
100,"@Jkylebass ""\u6c11\u7121\u4fe1\u800c\u4e0d\u7acb"" our old word!!  Government downfall is a must if there^s no trust between each other.\u2026 https://t.co/tRknSRPk88 ",0
2188,@BBCWorld Hongkongers has never been more united. #GloryToHongKong #GodBlessHongKong ,0
913,"@GOPLeader @Lilalal22181067 Absolutely. Democracy and liberty should not link up with money, thanks for supporting\u2026 https://t.co/GvMnuILXgi ",0
2886,@JoeBiden Please help HK. #Chinazi must be stopped or their brainwashed slaves will be sent to the rest of the worl\u2026 https://t.co/NacBu2bYQz ,0
3003,I forgot what i wore that say in 2003 but i am sure i was there and HK has changed a lot since then.\u2026 https://t.co/ZBmSno3DXP ,0
2999,"@woshijiaogua I realize that your #Chinazi bot profile uses a Greek name, but not all Occidentals engage in Oedipal behavor. ",0
1933,@longshotauthor But also #FreeHongKong ,0
421,#HongKongProtest  step in 100 days #chinazi is still immovable. #StandwithHK #passHKHumanRightsDemocracyAct https://t.co/OBUaOTLYcj ,0
318,"@goofrider @28481k When the popo were convicted for their war crimes and sent to jail, let^s constantly add some pa\u2026 https://t.co/NPcOCUPFpw ",0
1951,\u300c\u5f97\u9053\u591a\u52a9\u3001\u5931\u9053\u5be1\u52a9\u300d\u7684\u6700\u4f73\u5beb\u7167\uff01#freedomhk #StandwithHK #HKprotests against #chinazi https://t.co/D7lVsWnqMM ,0
2287,Certain shops and corporations are being attacked and vandalised in the recent protests. Here^s why.\n\n#BoycottChina\u2026 https://t.co/4zoza6Jy0f ,0
194,RT @jefferythehker: What are #HongKongers facing right now in #HongKong ?\n#StandWithHongKong #antiELAB #StandwithHK #HongKonger #hkpolicebr\u2026 ,0
2248,#HongKongProtesters #FightForFreedom #StandWithHongKong https://t.co/J2syFXbcwS ,0
1141,"Again and again....\n\nNBA yesterday, Blizzard today. What^s next?\n\n#chinazi \n#China \n#StandwithHK https://t.co/ij2lNqJGda ",0
762,Heartbreaking..we have to face the truth that hk is no longer the place it used to be. #HongKongPolice will have to\u2026 https://t.co/2FvIL2KPLh ,0
2255,Support #FreeHongKong https://t.co/Tm2Uo88EaU ,0
743,@fullmoon_stay Thank you for share the message to the world. #StandwithHK #HongKongProtests ,0
1823,#HKPolice #hkpoliceisterrorist \n#chinazi #chinazism https://t.co/MT7UlwTrX9 ,0
1551,#October1st #HKprotests #StandWithHongKong https://t.co/kj7doHmWnu ,0
